,reward,difficulty,offer_type,offer_id,email,mobile,social,web,duration
0,10,10,bogo,ae264e3637204a6fb9bb56bc8210ddfd,1,1,1,0,168
1,10,10,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,1,1,1,1,120
2,0,0,informational,3f207df678b143eea3cee63160fa8bed,1,1,0,1,96
3,5,5,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,0,1,168
4,5,20,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,0,0,1,240
5,3,7,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,168
6,2,10,discount,fafdcd668e3743c1bb461111dcafc2a4,1,1,1,1,240
7,0,0,informational,5a8bc65990b245e5a138643cd4eb9837,1,1,1,0,72
8,5,5,bogo,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1,1,120
9,2,10,discount,2906b810c7d4411798c6938adc9daaa5,1,1,0,1,168
